,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
3529,tt4814476,Rock Hero, Yao gun ying xiong,2015, Music,4.6,9
3530,tt4818250,Jian Bing Man, Jian bing xia,2015, Comedy,5.6,1062
3531,tt4819470,Forever Young, Zhi zi hua kai,2015, Romance,2.7,133
3532,tt4819498,Chronicles of the Ghostly Tribe, Jiu ceng yao ta,2015, Action&Adventure&Drama,5.1,1504
3533,tt4819514,Go Away Mr. Tumor, Gun dan ba! Zhong liu jun,2015, Comedy&Romance,6.6,1018
3534,tt4819544,Only You, Ming zhong zhu ding,2015, Comedy&Romance,5.3,129
3535,tt4819560,Saving Mr. Wu, Jie jiu Wu xian sheng,2015, Action&Crime&Drama,6.7,2182
3536,tt4819576,L.O.R.D: Legend of Ravaging Dynasties, Jue ji,2016, Adventure&Animation&Fantasy,5.1,1058
3537,tt4819586,Detective Gui, Zhai nu zhen tan Gui Xiang,2015, Comedy,3.4,58
3538,tt4819604,Cities in Love, Lian ai zhong de cheng shi,2015, Romance,4.9,72
3539,tt4823122,The Missing, Bang jia zhe,2017, Action&Crime&Thriller,5.1,146
3540,tt4828680,Inside or Outside, Zhen xiang jin qu,2016, Crime&Thriller,6.1,73
3542,tt4838194,Chang Chen Ghost Stories: Be Possessed by Ghosts, Zhang zhen jiang gu shi zhi gui mi xin qiao,2015, Horror,3.1,24
3543,tt4838290,Love Without Distance, Tu hao 520,2015, Comedy&Romance,3.4,19
3544,tt4838316,Legend of a Rabbit: The Martial of Fire, Tu xia zhi qing li chuan shuo,2015, Animation,5.7,120
3545,tt4838340,The Beloved, Chong sheng ai ren,2015, Romance,5.2,16
3546,tt4838364,Lovers & Movies, Ai wo jiu pei wo kan dian ying,2015, Comedy,3.0,16
3547,tt4838422,Jackie Chan Presents: Amnesia, Wo shi shei 2015,2015, Action&Adventure&Comedy,4.5,119
3550,tt4838502,War on a String, Xuan zhan,2015, Mystery,3.8,11
3551,tt4839424,The Autobots, Qi che ren zong dong yuan,2015, Adventure&Animation&Family,1.1,140
3552,tt4839842,Game of Assassins, Game of Assassins,2013, Action,2.5,10
3554,tt4845078,The Mysterious Family, Shen mi jia zu,2017, Drama,5.2,94
3556,tt4846834,Man zhou li lai de ren, Man zhou li lai de ren,2015, Crime&Drama&Thriller,2.4,7
3557,tt4847452,Da pian, Da pian,2013, Comedy,3.3,6
3558,tt4851640,The Final Master, Shi fu,2015, Action&Drama,6.9,2171
3560,tt4855062,One Mind, One Mind,2019, Documentary,7.2,18
3562,tt4862468,A Chinese Odyssey: Part Three, Da hua xi you 3,2016, Fantasy,3.6,383
3566,tt4881302,The Strange House, Tong ling zhi liu shi gu zhai,2015, Horror,4.8,106
3568,tt4885238,Seer Movie 5: Rise of Thunder, Sai er hao da dian ying 5: lei shen jue qi,2015, Animation,4.0,8
3569,tt4885752,The Hero Chiyou, Zhanshen Chiyou,2017, Action,9.0,9
3570,tt4885784,Paris Holiday, Ba li jia qi,2015, Comedy&Romance,5.6,148
3571,tt4885814,Who in the Pool, Kong bu you yong guan,2015, Horror,3.4,35
3572,tt4885916,The Little Mermaid: Attack of the Pirates, Mei ren yu zhi hai dao lai xi,2015, Adventure&Animation&Family,4.3,88
3573,tt4885924,Mr Black: Green Star, Hei mao jing zhang zhi fei cui zhi xing,2015, Animation,4.4,31
3574,tt4885958,Kwai Boo, Gui bao zhi bao xiao chuang yu zhou,2015, Adventure&Animation&Comedy,5.0,14
