,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
386,tt0105400,All Men Are Brothers: Blood of the Leopard, Shui hu zhuan zhi ying xiong ben se,1993, Action&Drama,6.4,248
387,tt0105436,Sofie, Sofie,1992, Drama,6.7,205
388,tt0105587,Lucky Encounter, Tek dou bou,1992, Comedy&Fantasy,5.1,74
389,tt0105619,The Heroic Trio, Dung fong sam hap,1993, Action&Fantasy&Thriller,6.5,3110
390,tt0105620,Gangs 92, Tong dang: Jie tou ba wang,1992, Action,4.5,19
391,tt0105652,Pushing Hands, Tui shou,1991, Comedy&Drama,7.3,3816
392,tt0105655,Swordsman III: The East Is Red, Dung Fong Bat Bai: Fung wan joi hei,1993, Action&Romance,6.2,1460
393,tt0105839,Once Upon a Time in China II, Wong Fei Hung II: Nam yee tung chi keung,1992, Action&Adventure&Biography,7.4,9161
394,tt0105842,Deadend Besiegers, Wu Lin sheng dou shi,1992, Action&Comedy,6.4,75
395,tt0105851,Full Contact, Xia dao Gao Fei,1992, Action&Crime&Thriller,7.1,4059
396,tt0105859,Dragon Inn, San lung moon hak chan,1992, Action&Thriller,7.3,3882
397,tt0105863,Xuese Qingchen, Xuese Qingchen,1992, Crime&Drama,7.7,51
398,tt0105864,The Days of Being Dumb, Ah Fei yu Ah Kei,1992, Action&Comedy&Crime,6.7,259
399,tt0105895,Zhou Enlai, Zhou Enlai,1992, Biography&Drama,7.3,64
400,tt0105903,Legend of the Drunken Tiger, Zui gui Zhang San,1990, Action&Romance,4.7,41
401,tt0106332,Farewell My Concubine, Ba wang bie ji,1993, Drama&Music&Romance,8.1,25568
402,tt0106376,Heroes Among Heroes, So Hak-Yee,1993, Action&Drama,6.2,530
403,tt0106378,Beijing Bastards, Beijing zazhong,1993, Drama,5.5,163
404,tt0106409,A Warriors Tragedy, Bian cheng lang zi,1993, Action&Drama&Mystery,6.5,75
405,tt0106532,Ce huang qi, Ce huang qi,1993, N/A,6.6,5
406,tt0106602,Descendants of Confucius, Que li ren jia,1993, N/A,7.5,14
407,tt0106617,Feng huang qin, Feng huang qin,1993, Drama,6.6,104
408,tt0106643,Da Sa Ba, Da Sa Ba,1993, Romance,7.0,131
409,tt0106750,The Days, Dongchun de rizi,1993, Drama,6.2,160
410,tt0106771,Dragons of the Orient, Dong fang ju long,1988, Action&Documentary,6.0,93
411,tt0106772,A Dream in Red Mansions, Hong lou meng,1988, Drama,7.5,50
412,tt0106937,The Legend II, Fong Sai Yuk 2,1993, Action&Adventure&Comedy,7.0,4193
413,tt0106991,Three Summers, Ge ge de qing ren,1992, Drama,6.4,52
414,tt0107102,Crazy Hong Kong, Heung Gong wun fung kwong,1993, Adventure&Comedy,4.5,519
415,tt0107109,Hidden Hero, Jiang hu qi bing,1990, Action,6.0,17
416,tt0107158,A Soul Haunted by Painting, Hua hun,1994, Biography&Drama&Romance,6.7,392
417,tt0107161,Fist from Shaolin, Huang Fei Hong zhi nan er dang bao guo,1993, Action&Adventure&Comedy,6.6,73
418,tt0107247,Jack the Bear, Jack the Bear,1993, Comedy&Drama,6.5,3922
419,tt0107290,Jurassic Park, Jurassic Park,1993, Action&Adventure&Sci-Fi,8.1,880733
420,tt0107358,The Blue Kite, Lan feng zheng,1993, Drama,7.6,2716
421,tt0107461,Cageman, Long min,1992, Drama,7.7,197
422,tt0107463,Luo he zhen de xiong di, Luo he zhen de xiong di,1995, Drama,5.8,5
